Metric,statistic,n,Threshold,p_value,p_minus_alpha,NPVR,formula,df,df2,sigma_p,flip_probability,significance,possible_numerical_outcome,flip_direction,risk_type
betweeness,4.0,50,0.4,0.05094706873769324,0.0009470687376932352,0.1765933916024167,ancova_p_value,,50.0,0.0196986932071716,0.5299199215670994,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,50,0.3,0.05094706873769324,0.0009470687376932352,0.1247333168256184,two_sample_t_p_value,50.0,,0.0139137898568292,0.5073265433835283,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,50,0.3,0.05094706873769324,0.0009470687376932352,0.1247333168256184,ancova_p_value,,50.0,0.0139137898568293,0.5073265433835281,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,50,0.2,0.05094706873769324,0.0009470687376932352,0.0973272887753488,two_sample_t_p_value,50.0,,0.0108566939276404,0.4919811290269864,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,50,0.2,0.05094706873769324,0.0009470687376932352,0.0973272887753488,ancova_p_value,,50.0,0.0108566939276404,0.4919811290269864,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,50,0.1,0.05094706873769324,0.0009470687376932352,0.0692786045549923,ancova_p_value,,50.0,0.0077279107930734,0.47003394611531013,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,50,0.1,0.05094706873769324,0.0009470687376932352,0.0692786045549923,two_sample_t_p_value,50.0,,0.0077279107930733,0.47003394611530797,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,30,0.5,0.054625044962983094,0.004625044962983091,0.1927742919041782,two_sample_t_p_value,30.0,,0.0219193141307302,0.4651876311128638,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,30,0.5,0.054625044962983094,0.004625044962983091,0.1927742919041782,ancova_p_value,,30.0,0.0219193141307302,0.4651876311128638,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,50,0.05,0.05094706873769324,0.0009470687376932352,0.0626583545841557,two_sample_t_p_value,50.0,,0.0069894331414073,0.46302501681432884,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,50,0.05,0.05094706873769324,0.0009470687376932352,0.0626583545841557,ancova_p_value,,50.0,0.0069894331414073,0.46302501681432884,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,30,0.4,0.054625044962983094,0.004625044962983091,0.1765933916024167,two_sample_t_p_value,30.0,,0.0200794721417962,0.452920814359206,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,30,0.4,0.054625044962983094,0.004625044962983091,0.1765933916024167,ancova_p_value,,30.0,0.0200794721417961,0.452920814359205,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,30,0.3,0.054625044962983094,0.004625044962983091,0.1247333168256184,two_sample_t_p_value,30.0,,0.0141827456714386,0.40058035306662615,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,30,0.3,0.054625044962983094,0.004625044962983091,0.1247333168256184,ancova_p_value,,30.0,0.0141827456714386,0.40058035306662615,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,30,0.2,0.054625044962983094,0.004625044962983091,0.0973272887753488,two_sample_t_p_value,30.0,,0.0110665555821083,0.35768135918020505,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,30,0.2,0.054625044962983094,0.004625044962983091,0.0973272887753488,ancova_p_value,,30.0,0.0110665555821083,0.35768135918020505,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,30,0.1,0.054625044962983094,0.004625044962983091,0.0692786045549923,two_sample_t_p_value,30.0,,0.0078772925620929,0.288630905661114,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,30,0.1,0.054625044962983094,0.004625044962983091,0.0692786045549923,ancova_p_value,,30.0,0.0078772925620929,0.288630905661114,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,30,0.05,0.054625044962983094,0.004625044962983091,0.0626583545841557,two_sample_t_p_value,30.0,,0.0071245400176465,0.26579353394166366,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,30,0.05,0.054625044962983094,0.004625044962983091,0.0626583545841557,ancova_p_value,,30.0,0.0071245400176465,0.26579353394166366,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,0.2,75,0.5,0.08116706380718447,0.031167063807184467,0.1927742919041782,partial_correlation_p_value,75.0,,0.0340794021146407,0.18145186335300162,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,0.1,300,0.5,0.0827480032540806,0.0327480032540806,0.1927742919041782,partial_correlation_p_value,300.0,,0.0342620932041019,0.16732686124179863,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,0.2,75,0.4,0.08116706380718447,0.031167063807184467,0.1765933916024167,partial_correlation_p_value,75.0,,0.0312188785328202,0.15409861243942877,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,0.1,300,0.4,0.0827480032540806,0.0327480032540806,0.1765933916024167,partial_correlation_p_value,300.0,,0.0313862350759818,0.14035698940773603,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,0.3,30,0.5,0.09527344416868826,0.045273444168688254,0.1927742919041782,partial_correlation_p_value,30.0,,0.0395214203089589,0.1092217866931298,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,4.0,75,0.2,0.04912138289485513,-0.0008786171051448702,0.0973272887753488,ancova_p_value,,75.0,0.0107454750829851,0.4402272026086651,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,2.0,75,0.2,0.04912138289485513,-0.0008786171051448702,0.0973272887753488,two_sample_t_p_value,75.0,,0.0107454750829853,0.4402272026086649,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,4.0,75,0.3,0.04912138289485513,-0.0008786171051448702,0.1247333168256184,ancova_p_value,,75.0,0.0137712533127426,0.4395427625717425,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,2.0,75,0.3,0.04912138289485513,-0.0008786171051448702,0.1247333168256184,two_sample_t_p_value,75.0,,0.0137712533127428,0.4395427625717412,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,2.0,75,0.1,0.04912138289485513,-0.0008786171051448702,0.0692786045549923,two_sample_t_p_value,75.0,,0.0076487440305458,0.4351254925711956,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,4.0,75,0.1,0.04912138289485513,-0.0008786171051448702,0.0692786045549923,ancova_p_value,,75.0,0.0076487440305457,0.4351254925711949,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,2.0,75,0.05,0.04912138289485513,-0.0008786171051448702,0.0626583545841557,two_sample_t_p_value,75.0,,0.0069178315393024,0.43222797233163013,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,4.0,75,0.05,0.04912138289485513,-0.0008786171051448702,0.0626583545841557,ancova_p_value,,75.0,0.0069178315393023,0.4322279723316296,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,4.0,75,0.4,0.04912138289485513,-0.0008786171051448702,0.1765933916024167,ancova_p_value,,75.0,0.0194968945828092,0.4321546626896866,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,2.0,75,0.4,0.04912138289485513,-0.0008786171051448702,0.1765933916024167,two_sample_t_p_value,75.0,,0.0194968945828095,0.4321546626896856,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,4.0,75,0.5,0.04912138289485513,-0.0008786171051448702,0.1927742919041782,ancova_p_value,,75.0,0.0212833561518166,0.429010270218784,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,2.0,75,0.5,0.04912138289485513,-0.0008786171051448702,0.1927742919041782,two_sample_t_p_value,75.0,,0.0212833561518169,0.42901027021878346,significant,non-significant,significant -> non-significant,false-positive risk
