Threshold,Metric,NPVR,n,formula,df,statistic,df2,p_value,sigma_p,p_minus_alpha,flip_probability,significance
0.2,avg_shortestPathLength,0.0277506495043664,100,two_sample_t_p_value,100.0,1.0,,0.31972415578412333,0.0133628200365373,0.26972415578412334,6.646543640973795e-196,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,100,two_sample_t_p_value,100.0,2.0,,0.04821217873113365,0.0030475010297024,-0.0017878212688663547,0.2743276959630472,significant
0.2,avg_shortestPathLength,0.0277506495043664,100,two_sample_t_p_value,100.0,3.0,,0.0034079153433294465,0.000284504637314,-0.04659208465667056,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,100,two_sample_t_p_value,100.0,4.0,,0.00012152364430076177,1.2274365169705536e-05,-0.04987847635569924,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,100,two_sample_t_p_value,100.0,5.0,,2.450173413503802e-06,2.819498310673826e-07,-0.049997549826586496,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,100,two_sample_t_p_value,100.0,6.0,,3.172491502802852e-08,3.984855916753991e-09,-0.049999968275084974,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,300,two_sample_t_p_value,300.0,0.5,,0.617441622554225,0.0195166924469307,0.5674416225542249,0.0,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,300,two_sample_t_p_value,300.0,1.0,,0.31811640443062633,0.0134073377732321,0.26811640443062634,2.9202001942637706e-192,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,300,two_sample_t_p_value,300.0,2.0,,0.0464015209831491,0.0030138789450122,-0.0035984790168509043,0.11777421049710968,significant
0.2,avg_shortestPathLength,0.0277506495043664,300,two_sample_t_p_value,300.0,3.0,,0.0029262198640661076,0.0002587313080826,-0.0470737801359339,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,300,two_sample_t_p_value,300.0,4.0,,7.984004483719462e-05,8.885752319021706e-06,-0.04992015995516281,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,300,two_sample_t_p_value,300.0,5.0,,9.769154730247779e-07,1.2976402570764958e-07,-0.04999902308452698,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,300,two_sample_t_p_value,300.0,6.0,,5.676439092359154e-09,8.66041872741247e-10,-0.04999999432356091,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,500,two_sample_t_p_value,500.0,0.5,,0.6172950500946657,0.0195260446058862,0.5672950500946656,0.0,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,500,two_sample_t_p_value,500.0,1.0,,0.3177942072606085,0.0134162710280656,0.2677942072606085,1.545560314258393e-191,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,500,two_sample_t_p_value,500.0,2.0,,0.046040682769031456,0.0030069954655818,-0.003959317230968547,0.09630481908915645,significant
0.2,avg_shortestPathLength,0.0277506495043664,500,two_sample_t_p_value,500.0,3.0,,0.002834491812851143,0.0002536166008042,-0.04716550818714886,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,500,two_sample_t_p_value,500.0,4.0,,7.291606940371305e-05,8.2838436844348e-06,-0.04992708393059629,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,500,two_sample_t_p_value,500.0,5.0,,7.94641504790956e-07,1.0891222980302147e-07,-0.04999920535849521,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,500,two_sample_t_p_value,500.0,6.0,,3.790442338479296e-09,6.042300703846635e-10,-0.04999999620955766,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,1000,two_sample_t_p_value,1000.0,0.5,,0.6171850808338747,0.0195330622707902,0.5671850808338746,0.0,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,1000,two_sample_t_p_value,1000.0,1.0,,0.31755241808467255,0.0134229774851383,0.26755241808467256,5.37986980284931e-191,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,1000,two_sample_t_p_value,1000.0,2.0,,0.04577034649325166,0.0030017974146536,-0.0042296535067483446,0.08221827532119075,significant
0.2,avg_shortestPathLength,0.0277506495043664,1000,two_sample_t_p_value,1000.0,3.0,,0.0027667090442381925,0.0002497905122133,-0.04723329095576181,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,1000,two_sample_t_p_value,1000.0,4.0,,6.800991920878163e-05,7.848809930855287e-06,-0.04993199008079122,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,1000,two_sample_t_p_value,1000.0,5.0,,6.767256364648635e-07,9.501890286763537e-08,-0.04999932327436354,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,1000,two_sample_t_p_value,1000.0,6.0,,2.7553691733774752e-09,4.545137832134733e-10,-0.04999999724463083,0.0,significant
0.3,avg_shortestPathLength,0.0241110187938018,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.0167754139460807,0.5707230048851272,0.0,non-significant
0.3,avg_shortestPathLength,0.0241110187938018,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0114765238990932,0.2753086154260302,3.784992894343339e-276,non-significant
0.3,avg_shortestPathLength,0.0241110187938018,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.0027415325442667,0.004625044962983091,0.04287693190146158,non-significant
