Metric,statistic,n,Threshold,p_value,p_minus_alpha,NPVR,formula,df,df2,sigma_p,flip_probability,significance,possible_numerical_outcome,flip_direction,risk_type
avg_shortestPathLength,2.0,500,0.05,0.046040682769031456,-0.003959317230968547,0.0369821457609369,two_sample_t_p_value,500.0,,0.0040072988054973,0.1611983632881211,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.5,0.0464015209831491,-0.0035984790168509043,0.0334959924714658,ancova_p_value,,300.0,0.0036378559873407,0.1609856499819866,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.5,0.0464015209831491,-0.0035984790168509043,0.0334959924714658,two_sample_t_p_value,300.0,,0.0036378559873402,0.16098564998195486,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.1,0.0464015209831491,-0.0035984790168509043,0.0315639250336682,ancova_p_value,,300.0,0.0034280224347889,0.14729040173596752,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.1,0.0464015209831491,-0.0035984790168509043,0.0315639250336682,two_sample_t_p_value,300.0,,0.0034280224347883,0.14729040173592667,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.2,0.0464015209831491,-0.0035984790168509043,0.0314671525049664,ancova_p_value,,300.0,0.0034175123857659,0.14658176817452806,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.2,0.0464015209831491,-0.0035984790168509043,0.0314671525049664,two_sample_t_p_value,300.0,,0.0034175123857654,0.14658176817449498,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,1000,0.05,0.04577034649325166,-0.0042296535067483446,0.0369821457609369,two_sample_t_p_value,1000.0,,0.0040003715774673,0.1456732661332819,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,1000,0.05,0.04577034649325166,-0.0042296535067483446,0.0369821457609369,ancova_p_value,,1000.0,0.0040003715774661,0.14567326613321296,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.5,0.046040682769031456,-0.003959317230968547,0.0334959924714658,ancova_p_value,,500.0,0.0036295473899093,0.1384871794782262,significant,non-significant,significant -> non-significant,false-positive risk
